VendorID,passenger_count,trip_distance,RatecodeID,payment_type,fare_amount,tip_amount,tolls_amount,total_amount,trip_duration_seconds
2,1.0,0.97,1.0,Cash,9.3,0.0,0.0,14.3,506
2,1.0,1.1,1.0,Credit,7.9,4.0,0.0,16.9,379
2,1.0,2.51,1.0,Credit,14.9,15.0,0.0,34.9,765
1,0.0,1.9,1.0,Credit,12.1,0.0,0.0,20.85,577
2,1.0,1.43,1.0,Credit,11.4,3.28,0.0,19.68,650
2,1.0,1.84,1.0,Credit,12.8,10.0,0.0,27.8,738
2,1.0,1.66,1.0,Credit,12.1,3.42,0.0,20.52,627
2,1.0,11.7,1.0,Credit,45.7,10.74,3.0,64.44,1364
2,1.0,2.95,1.0,Credit,17.7,5.68,0.0,28.38,896
2,1.0,3.01,1.0,Cash,14.9,0.0,0.0,19.9,654
2,1.0,1.8,1.0,Credit,11.4,3.28,0.0,19.68,524
1,4.0,7.3,1.0,Credit,33.8,7.75,0.0,46.55,2021
2,1.0,3.23,1.0,Credit,26.1,6.22,0.0,37.32,1781
2,2.0,11.43,1.0,Credit,44.3,13.26,0.0,66.31,1194
2,1.0,2.95,1.0,Credit,17.7,4.04,0.0,24.24,922
2,1.0,1.52,1.0,Credit,10.0,1.25,0.0,16.25,546
2,1.0,2.23,1.0,Credit,19.8,4.96,0.0,29.76,1348
1,1.0,4.5,1.0,Credit,20.5,4.0,0.0,29.5,889
1,3.0,1.2,1.0,Cash,8.6,0.0,0.0,13.6,360
1,2.0,2.5,1.0,Cash,15.6,0.0,0.0,20.6,858
1,1.0,1.4,1.0,Credit,9.3,2.85,0.0,17.15,393
1,1.0,17.8,2.0,Credit,70.0,15.85,6.55,95.15,1830
1,4.0,0.8,1.0,Dispute,8.6,0.0,0.0,13.6,446
1,2.0,1.7,1.0,Dispute,11.4,0.0,0.0,16.4,612
2,1.0,5.7,1.0,Credit,26.8,6.36,0.0,38.16,1155
2,1.0,1.18,1.0,Credit,17.0,6.6,0.0,28.6,1169
2,1.0,2.42,1.0,Credit,17.0,4.4,0.0,26.4,1034
1,2.0,2.3,1.0,Credit,13.5,3.7,0.0,22.2,767
1,1.0,0.7,1.0,Credit,5.1,1.82,0.0,11.92,170
1,1.0,1.2,1.0,Credit,7.9,2.55,0.0,15.45,331
1,2.0,4.1,1.0,Cash,19.1,0.0,0.0,24.1,921
1,1.0,9.5,1.0,Credit,38.7,15.05,6.55,65.3,1645
2,4.0,2.02,1.0,Cash,26.1,0.0,0.0,31.1,1955
2,1.0,2.17,1.0,Cash,14.2,0.0,0.0,19.2,875
2,2.0,2.41,1.0,Credit,12.1,3.42,0.0,20.52,492
2,2.0,0.6,1.0,Credit,5.1,2.02,0.0,12.12,149
2,1.0,5.01,1.0,Credit,23.3,5.66,0.0,33.96,875
2,1.0,3.24,1.0,Credit,19.1,3.0,0.0,27.1,1048
2,1.0,2.7,1.0,Credit,16.3,4.26,0.0,25.56,1039
2,2.0,1.2,1.0,Credit,7.9,2.0,0.0,14.9,377
2,5.0,1.3,1.0,Credit,10.7,3.14,0.0,18.84,572
2,5.0,2.32,1.0,Credit,16.3,5.32,0.0,26.62,992
2,5.0,2.35,1.0,Credit,23.3,5.66,0.0,33.96,1715
2,1.0,0.61,1.0,Credit,5.8,2.16,0.0,12.96,222
2,1.0,2.27,1.0,Credit,13.5,3.7,0.0,22.2,694
2,1.0,0.82,1.0,Credit,5.8,2.16,0.0,12.96,204
2,2.0,1.72,1.0,Cash,10.0,0.0,0.0,15.0,436
2,2.0,1.75,1.0,Credit,14.9,3.98,0.0,23.88,856
2,1.0,11.11,1.0,Credit,47.8,10.31,0.0,61.86,2271
1,2.0,0.2,1.0,Cash,5.1,0.0,0.0,10.1,210
1,1.0,2.4,1.0,Cash,15.6,0.0,0.0,20.6,842
1,2.0,2.9,1.0,Credit,15.6,5.4,6.55,32.55,785
1,1.0,1.2,1.0,Cash,10.0,0.0,0.0,15.0,622
1,1.0,1.6,1.0,Cash,10.7,0.0,0.0,15.7,650
1,1.0,3.3,1.0,Credit,30.3,2.0,0.0,37.3,2353
2,2.0,2.35,1.0,Credit,13.5,3.7,0.0,22.2,623
2,1.0,3.4,1.0,Credit,20.5,7.65,0.0,33.15,1141
2,1.0,1.15,1.0,Credit,7.9,1.94,0.0,14.84,348
2,1.0,0.86,1.0,Credit,7.2,5.0,0.0,17.2,289
2,1.0,16.02,1.0,Cash,61.1,0.0,0.0,64.85,4086
2,1.0,3.31,1.0,Credit,21.9,2.0,0.0,28.9,1248
2,1.0,0.03,1.0,Cash,3.0,0.0,0.0,8.0,51
2,1.0,1.38,1.0,Credit,12.1,3.42,0.0,20.52,711
2,1.0,2.04,1.0,Credit,13.5,3.7,0.0,22.2,705
1,1.0,11.3,1.0,Credit,48.5,10.7,0.0,64.2,2211
2,1.0,3.31,1.0,Cash,16.3,0.0,0.0,21.3,832
2,1.0,9.0,1.0,Credit,39.4,11.1,0.0,55.5,1679
1,3.0,3.0,1.0,Credit,19.8,0.0,0.0,24.8,1114
1,1.0,0.4,1.0,Credit,6.5,1.5,0.0,13.0,302
1,4.0,0.3,1.0,Credit,3.7,1.7,0.0,10.4,107
1,2.0,1.3,1.0,Credit,9.3,2.85,0.0,17.15,581
1,2.0,0.3,1.0,Credit,4.4,1.0,0.0,10.4,151
1,1.0,1.7,1.0,Credit,10.7,0.0,0.0,15.7,563
2,1.0,2.79,1.0,Credit,14.9,3.98,0.0,23.88,769
2,2.0,2.91,1.0,Credit,17.7,4.54,0.0,27.24,1036
2,1.0,1.69,1.0,Credit,11.4,2.0,0.0,18.4,563
2,1.0,0.82,1.0,Credit,7.9,3.22,0.0,16.12,360
2,1.0,0.52,1.0,Credit,5.1,2.02,0.0,12.12,124
2,1.0,1.97,1.0,Credit,12.1,1.0,0.0,18.1,567
2,1.0,3.1,1.0,Cash,19.1,0.0,0.0,24.1,1060
2,1.0,0.86,1.0,Credit,6.5,2.0,0.0,13.5,276
2,2.0,0.64,1.0,Cash,7.9,0.0,0.0,12.9,464
2,1.0,4.41,1.0,Credit,28.2,8.3,0.0,41.5,1965
2,1.0,0.64,1.0,Credit,7.9,1.29,0.0,14.19,416
2,1.0,1.08,1.0,Credit,8.6,2.72,0.0,16.32,413
2,1.0,3.04,1.0,Credit,15.6,2.4,0.0,23.0,707
2,1.0,1.71,1.0,Credit,11.4,4.1,0.0,20.5,570
2,2.0,3.05,1.0,Credit,28.2,6.64,0.0,39.84,1882
2,2.0,1.29,1.0,Cash,9.3,0.0,0.0,14.3,451
2,3.0,11.19,1.0,Credit,49.2,12.15,6.55,72.9,2115
2,1.0,11.03,1.0,Credit,51.3,13.45,0.0,68.5,2310
2,1.0,13.54,1.0,Credit,61.8,12.86,0.0,78.41,2495
1,1.0,1.4,1.0,Credit,7.9,2.55,0.0,15.45,272
1,1.0,1.1,1.0,Credit,7.2,2.4,0.0,14.6,233
1,1.0,1.6,1.0,Credit,11.4,3.0,0.0,19.4,579
2,1.0,0.08,1.0,Cash,3.0,0.0,0.0,5.5,48
2,1.0,6.22,1.0,Cash,31.0,0.0,0.0,39.75,1261
2,1.0,4.56,1.0,Credit,20.5,5.75,0.0,30.0,740
2,1.0,1.41,1.0,Credit,10.7,3.92,0.0,19.62,569
2,1.0,1.7,1.0,Credit,11.4,2.0,0.0,18.4,614
2,1.0,1.14,1.0,Credit,8.6,2.72,0.0,16.32,463
2,1.0,6.19,1.0,Credit,40.1,9.02,0.0,54.12,2475
1,1.0,1.0,1.0,Credit,8.6,3.4,0.0,17.0,425
1,2.0,3.0,1.0,Credit,23.3,3.0,0.0,31.3,1493
1,1.0,3.7,1.0,Cash,24.7,0.0,0.0,29.7,1495
2,1.0,3.15,1.0,Credit,17.7,4.54,0.0,27.24,1043
2,1.0,1.75,1.0,Credit,12.8,5.34,0.0,23.14,704
2,1.0,0.71,1.0,Credit,6.5,1.72,0.0,13.22,233
2,1.0,0.67,1.0,Credit,6.5,0.0,0.0,11.5,306
2,1.0,6.14,1.0,Credit,38.7,8.74,0.0,52.44,2165
1,1.0,9.7,1.0,Credit,50.6,16.65,0.0,72.25,2453
2,2.0,1.16,1.0,Credit,8.6,2.72,0.0,16.32,436
2,1.0,1.44,1.0,Credit,8.6,1.5,0.0,15.1,372
2,2.0,2.73,1.0,Cash,14.2,0.0,0.0,19.2,681
2,1.0,3.53,1.0,Credit,18.4,5.85,0.0,29.25,718
1,3.0,0.7,1.0,Cash,7.2,0.0,0.0,12.2,406
1,2.0,1.1,1.0,Credit,9.3,1.5,0.0,15.8,648
1,1.0,9.0,1.0,Credit,35.9,0.0,0.0,40.9,1282
2,4.0,4.53,1.0,Credit,24.0,7.25,0.0,36.25,1363
2,1.0,1.02,1.0,Cash,6.5,0.0,0.0,11.5,204
2,1.0,2.86,1.0,Credit,17.0,4.4,0.0,26.4,843
2,1.0,1.91,1.0,Credit,10.7,3.14,0.0,18.84,478
2,1.0,5.62,1.0,Credit,23.3,7.08,0.0,35.38,815
2,1.0,0.74,1.0,Credit,5.8,2.0,0.0,12.8,199
2,1.0,3.07,1.0,Credit,15.6,3.09,0.0,23.69,803
2,1.0,7.05,1.0,Credit,32.4,4.0,0.0,41.4,1316
2,1.0,2.61,1.0,Cash,15.6,0.0,0.0,20.6,872
1,1.0,6.0,1.0,Cash,26.8,0.0,0.0,31.8,1367
1,2.0,1.7,1.0,Credit,10.7,3.93,0.0,19.63,564
1,2.0,1.9,1.0,Credit,10.7,2.0,0.0,17.7,515
1,1.0,0.8,1.0,Credit,5.8,5.0,0.0,15.8,251
1,1.0,4.3,1.0,Credit,21.2,5.25,0.0,31.45,1233
2,1.0,0.42,1.0,Dispute,-5.1,0.0,0.0,-10.1,154
2,1.0,0.42,1.0,Dispute,5.1,0.0,0.0,10.1,154
2,1.0,1.21,1.0,Credit,10.7,3.0,0.0,18.7,621
2,1.0,0.8,1.0,Credit,5.5,1.86,0.0,11.16,337
2,1.0,4.59,1.0,Credit,18.0,4.36,0.0,26.16,1488
2,1.0,6.81,1.0,Credit,31.0,9.0,0.0,45.0,1601
2,1.0,3.47,1.0,Credit,24.0,4.0,0.0,33.0,1542
2,2.0,0.44,1.0,Credit,5.8,1.62,0.0,12.42,195
2,2.0,1.93,1.0,Credit,12.1,2.0,0.0,19.1,573
2,2.0,1.89,1.0,Credit,11.4,2.78,0.0,16.68,499
2,1.0,0.7,1.0,Credit,6.5,2.3,0.0,13.8,264
2,1.0,1.98,1.0,Cash,12.8,0.0,0.0,17.8,704
2,1.0,1.82,1.0,Credit,12.1,3.42,0.0,20.52,656
2,1.0,6.08,1.0,Cash,26.8,0.0,0.0,31.8,1043
2,2.0,4.81,1.0,Credit,38.7,7.0,0.0,50.7,2537
2,1.0,0.98,1.0,Cash,8.6,0.0,0.0,13.6,458
2,1.0,1.5,1.0,Credit,8.6,2.04,0.0,15.64,350
2,1.0,2.58,1.0,Cash,13.5,0.0,0.0,18.5,657
2,1.0,1.46,1.0,Credit,21.9,5.38,0.0,32.28,1525
2,1.0,3.55,1.0,Credit,21.2,5.24,0.0,31.44,1100
2,1.0,2.13,1.0,Credit,16.3,4.26,0.0,25.56,887
2,2.0,1.97,1.0,Credit,17.7,5.67,0.0,28.37,1125
2,1.0,0.48,1.0,Credit,4.4,1.88,0.0,11.28,109
2,1.0,0.75,1.0,Cash,5.8,0.0,0.0,10.8,222
2,1.0,0.9,1.0,Credit,7.9,2.58,0.0,15.48,419
2,1.0,1.72,1.0,Credit,14.2,3.84,0.0,23.04,875
2,1.0,1.32,1.0,Credit,10.0,3.0,0.0,18.0,540
2,1.0,1.04,1.0,Credit,6.5,2.3,0.0,13.8,173
2,1.0,0.41,1.0,Credit,4.4,2.35,0.0,11.75,96
2,1.0,1.28,1.0,Credit,7.9,2.58,0.0,15.48,275
2,1.0,0.8,1.0,Cash,7.9,0.0,0.0,12.9,370
2,1.0,2.1,1.0,Cash,14.2,0.0,0.0,19.2,776
2,1.0,1.53,1.0,Credit,8.6,2.72,0.0,16.32,317
2,1.0,1.55,1.0,Credit,14.9,3.98,0.0,23.88,908
2,1.0,1.27,1.0,Credit,20.5,0.0,0.0,25.5,1429
1,2.0,2.7,1.0,Credit,15.6,4.1,0.0,24.7,974
1,1.0,19.2,1.0,Credit,72.3,15.2,0.0,91.25,1870
2,1.0,20.37,2.0,Credit,70.0,12.0,6.55,92.55,1710
2,1.0,0.76,1.0,Cash,5.8,0.0,0.0,10.8,661
2,1.0,1.2,1.0,Cash,7.9,0.0,0.0,12.9,336
2,1.0,1.47,1.0,Credit,8.6,2.72,0.0,16.32,319
2,1.0,1.69,1.0,Credit,10.7,3.14,0.0,18.84,484
2,1.0,2.1,1.0,Credit,13.5,3.7,0.0,22.2,654
1,4.0,1.5,1.0,Credit,11.4,3.25,0.0,19.65,653
1,1.0,5.8,1.0,Credit,38.7,6.56,0.0,50.26,2458
1,1.0,1.6,1.0,Credit,10.0,3.0,0.0,18.0,586
1,2.0,1.7,1.0,Credit,12.1,4.25,0.0,21.35,793
1,3.0,1.5,1.0,Credit,10.0,3.0,0.0,18.0,641
2,1.0,0.74,1.0,Credit,7.2,2.44,0.0,14.64,385
2,1.0,0.47,1.0,Credit,5.1,2.02,0.0,12.12,181
2,1.0,0.85,1.0,Credit,6.5,3.0,0.0,14.5,239
2,1.0,1.4,1.0,Credit,11.4,3.28,0.0,19.68,653
1,1.0,1.0,1.0,Cash,7.9,0.0,0.0,12.9,374
1,2.0,2.7,1.0,Credit,13.5,3.7,0.0,22.2,652
1,2.0,0.9,1.0,Credit,8.6,2.7,0.0,16.3,520
1,4.0,0.9,1.0,Cash,7.2,0.0,0.0,12.2,383
2,1.0,2.28,1.0,Cash,12.1,0.0,0.0,17.1,540
2,1.0,0.99,1.0,Credit,6.5,2.3,0.0,13.8,227
2,1.0,2.17,1.0,Credit,12.1,5.13,0.0,22.23,492
1,3.0,1.9,1.0,Credit,14.2,5.0,0.0,24.2,803
1,2.0,0.7,1.0,Credit,18.4,5.0,0.0,28.4,1314
1,1.0,6.7,1.0,Credit,33.1,6.0,0.0,44.1,1567
2,1.0,5.6,1.0,Credit,31.7,9.18,0.0,45.88,1872
2,1.0,3.08,1.0,Cash,16.3,0.0,0.0,21.3,822
2,1.0,1.52,1.0,Cash,10.0,0.0,0.0,15.0,491
2,1.0,0.84,1.0,Credit,6.5,2.3,0.0,13.8,206
2,1.0,0.29,1.0,Credit,4.4,1.0,0.0,10.4,161
2,1.0,0.5,1.0,Credit,6.5,2.3,0.0,13.8,307
2,1.0,1.3,1.0,Credit,10.7,3.14,0.0,18.84,625
2,1.0,2.15,1.0,Credit,11.4,3.28,0.0,19.68,505
2,1.0,5.49,1.0,Credit,22.6,5.52,0.0,33.12,725
1,6.0,2.1,1.0,Credit,14.2,0.01,0.0,19.21,966
1,1.0,1.2,1.0,Cash,8.6,0.0,0.0,13.6,530
1,3.0,0.3,1.0,Credit,4.4,1.85,0.0,11.25,177
1,2.0,2.4,1.0,Credit,16.3,5.3,0.0,26.6,994
